PARENT_NAME,PAYER_NAME,PAYER_ID,CREATED_AT
Carle Foundation,Health Alliance Medical Plan (IL),266,2026-03-02 07:06:46.961 -0500
Carle Foundation,,,2026-03-02 07:06:46.961 -0500
CaroMont Health,Senior TLC,967,2026-03-02 07:06:46.961 -0500
CaroMont Health,,,2026-03-02 07:06:46.961 -0500
Cascade Comprehensive Care,Cascade Comprehensive Care,126,2026-03-02 07:06:46.961 -0500
Cascade Comprehensive Care,,,2026-03-02 07:06:46.961 -0500
Catholic Charities Archdiocese of New Orleans,Pace Greater New Orleans,733,2026-03-02 07:06:46.961 -0500
Catholic Charities Archdiocese of New Orleans,,,2026-03-02 07:06:46.961 -0500
Catholic Health Care System,ArchCare Senior Life PACE,717,2026-03-02 07:06:46.961 -0500
Catholic Health Care System,,,2026-03-02 07:06:46.961 -0500
Catholic Health System Buffalo,Catholic Health System Buffalo PACE,821,2026-03-02 07:06:46.961 -0500
Catholic Health System Buffalo,,,2026-03-02 07:06:46.961 -0500
CenCal Health,CenCal Health,534,2026-03-02 07:06:46.961 -0500
CenCal Health,,,2026-03-02 07:06:46.961 -0500
Centene,Absolute Total Care,753,2026-03-02 07:06:46.961 -0500
Centene,Ambetter Alabama,1196,2026-03-02 07:06:46.961 -0500
Centene,Ambetter Tennessee,1140,2026-03-02 07:06:46.961 -0500
Centene,Arizona Complete Health,303,2026-03-02 07:06:46.961 -0500
Centene,Arkansas Health and Wellness,1141,2026-03-02 07:06:46.961 -0500
Centene,Buckeye Health,107,2026-03-02 07:06:46.961 -0500
Centene,Carolina Complete Care,1179,2026-03-02 07:06:46.961 -0500
Centene,Coordinated Care,871,2026-03-02 07:06:46.961 -0500
Centene,Delaware First Health,1203,2026-03-02 07:06:46.961 -0500
Centene,Fidelis Care,437,2026-03-02 07:06:46.961 -0500
Centene,Health Net (CA),304,2026-03-02 07:06:46.961 -0500
Centene,Health Net (OR),302,2026-03-02 07:06:46.961 -0500
Centene,Home State Health,872,2026-03-02 07:06:46.961 -0500
Centene,Iowa Total Care,1116,2026-03-02 07:06:46.961 -0500
Centene,Louisiana HealthCare Connections,851,2026-03-02 07:06:46.961 -0500
Centene,Magnolia Health,828,2026-03-02 07:06:46.961 -0500
Centene,Managed Health Services (IN),372,2026-03-02 07:06:46.961 -0500
Centene,Managed Health Services (WI),373,2026-03-02 07:06:46.961 -0500
Centene,Meridian Health Plan of Illinois,777,2026-03-02 07:06:46.961 -0500
Centene,Meridian Health Plan of Michigan,284,2026-03-02 07:06:46.961 -0500
Centene,Nebraska Total Care,1055,2026-03-02 07:06:46.961 -0500
Centene,New Hampshire Healthy Families,969,2026-03-02 07:06:46.961 -0500
Centene,Oklahoma Complete Health,1184,2026-03-02 07:06:46.961 -0500
Centene,Peach State Health,464,2026-03-02 07:06:46.961 -0500
Centene,Pennsylvania Health and Wellness,1072,2026-03-02 07:06:46.961 -0500
Centene,QualChoice,513,2026-03-02 07:06:46.961 -0500
Centene,SilverSummit,1058,2026-03-02 07:06:46.961 -0500
Centene,Sunflower State Health,897,2026-03-02 07:06:46.961 -0500
Centene,Sunshine Health,782,2026-03-02 07:06:46.961 -0500
Centene,Superior HealthPlan,577,2026-03-02 07:06:46.961 -0500
Centene,Trillium Community Health,595,2026-03-02 07:06:46.961 -0500
Centene,WellCare,644,2026-03-02 07:06:46.961 -0500
Centene,,,2026-03-02 07:06:46.961 -0500
Center for Elders Independence,Centers for Elders Independence,129,2026-03-02 07:06:46.961 -0500
Center for Elders Independence,,,2026-03-02 07:06:46.961 -0500
CenterLight Health System,CenterLight Healthcare,162,2026-03-02 07:06:46.961 -0500
CenterLight Health System,,,2026-03-02 07:06:46.961 -0500
Centers Plan Healthy Living,Centers Plan Healthy Living,984,2026-03-02 07:06:46.961 -0500
Centers Plan Healthy Living,,,2026-03-02 07:06:46.961 -0500
Centra Health,Centra PACE (VA),785,2026-03-02 07:06:46.961 -0500
Centra Health,,,2026-03-02 07:06:46.961 -0500
McGregor,McGregor PACE,164,2026-03-02 07:06:46.961 -0500
McGregor,,,2026-03-02 07:06:46.961 -0500
McLaren Health Care,MDwise,384,2026-03-02 07:06:46.961 -0500
McLaren Health Care,McLaren Health,265,2026-03-02 07:06:46.961 -0500
McLaren Health Care,,,2026-03-02 07:06:46.961 -0500
MedImpact,VibrantRx,1101,2026-03-02 07:06:46.961 -0500
MedImpact,,,2026-03-02 07:06:46.961 -0500
MedStar Health,MedStar Family Choice,318,2026-03-02 07:06:46.961 -0500
MedStar Health,,,2026-03-02 07:06:46.961 -0500
"Medi-Excel, S.A. de C.V.",MediExcel Health,1067,2026-03-02 07:06:46.961 -0500
"Medi-Excel, S.A. de C.V.",,,2026-03-02 07:06:46.961 -0500
Medica (MN),Dean Health Plan by Medica,186,2026-03-02 07:06:46.961 -0500
Medica (MN),Medica (MN),387,2026-03-02 07:06:46.961 -0500
Medica (MN),,,2026-03-02 07:06:46.961 -0500
Medical Associates Clinic and Health Plans,Medical Associates Health,390,2026-03-02 07:06:46.961 -0500
Medical Associates Clinic and Health Plans,,,2026-03-02 07:06:46.961 -0500
Medical Mutual,Medical Mutual,391,2026-03-02 07:06:46.961 -0500
Medical Mutual,Paramount Health,456,2026-03-02 07:06:46.961 -0500
Medical Mutual,,,2026-03-02 07:06:46.961 -0500
Memorial Hermann Healthcare System,Memorial Hermann,983,2026-03-02 07:06:46.961 -0500
Memorial Hermann Healthcare System,,,2026-03-02 07:06:46.961 -0500
MemorialCare Health,MemorialCare Select Health,1065,2026-03-02 07:06:46.961 -0500
MemorialCare Health,,,2026-03-02 07:06:46.961 -0500
Mending,Mending,1198,2026-03-02 07:06:46.961 -0500
Mending,,,2026-03-02 07:06:46.961 -0500
Mennonite General Hospital,Plan de Salud Menonita,730,2026-03-02 07:06:46.961 -0500
Mennonite General Hospital,,,2026-03-02 07:06:46.961 -0500
MercyCare Insurance,MercyCare Health (WI),398,2026-03-02 07:06:46.961 -0500
MercyCare Insurance,,,2026-03-02 07:06:46.961 -0500
MetroPlus Health,MetroPlus Health,401,2026-03-02 07:06:46.961 -0500
MetroPlus Health,,,2026-03-02 07:06:46.961 -0500
Metropolitan Jewish Health System,Elderplan,206,2026-03-02 07:06:46.961 -0500
Metropolitan Jewish Health System,,,2026-03-02 07:06:46.961 -0500
Miami Jewish Health,Florida Pace Centers,236,2026-03-02 07:06:46.961 -0500
Miami Jewish Health,,,2026-03-02 07:06:46.961 -0500
Mid Rogue IPA,AllCare Health,403,2026-03-02 07:06:46.961 -0500
Mid Rogue IPA,,,2026-03-02 07:06:46.961 -0500
Midland Hospice,Midland Care Connection,732,2026-03-02 07:06:46.961 -0500
Midland Hospice,,,2026-03-02 07:06:46.961 -0500
Midwest Christian Villages,EverTrue PACE,1201,2026-03-02 07:06:46.961 -0500
Midwest Christian Villages,,,2026-03-02 07:06:46.961 -0500
Milford Wellness Village PACE,PACE Your LIFE,1202,2026-03-02 07:06:46.961 -0500
Milford Wellness Village PACE,,,2026-03-02 07:06:46.961 -0500
Mission Health,CarePartners,997,2026-03-02 07:06:46.961 -0500
Mission Health,,,2026-03-02 07:06:46.961 -0500
Missouri Healthcare Advisors,NHC Advantage,1048,2026-03-02 07:06:46.961 -0500
Missouri Healthcare Advisors,,,2026-03-02 07:06:46.961 -0500
Moda Health,Moda Health,438,2026-03-02 07:06:46.961 -0500
Moda Health,,,2026-03-02 07:06:46.961 -0500
Molina Healthcare,Central Health Medicare,131,2026-03-02 07:06:46.961 -0500
Molina Healthcare,ConnectiCare,166,2026-03-02 07:06:46.961 -0500
Molina Healthcare,Molina Healthcare,1022,2026-03-02 07:06:46.961 -0500
Molina Healthcare,My Choice Wisconsin,800,2026-03-02 07:06:46.961 -0500
Molina Healthcare,,,2026-03-02 07:06:46.961 -0500
Montage Health,Aspire Health,955,2026-03-02 07:06:46.961 -0500
Montage Health,,,2026-03-02 07:06:46.961 -0500
Montana Health CO-OP,Montana Health CO-OP,936,2026-03-02 07:06:46.961 -0500
Montana Health CO-OP,Mountain Health CO-OP,980,2026-03-02 07:06:46.961 -0500
Montana Health CO-OP,,,2026-03-02 07:06:46.961 -0500
MorseLife Home Care,Palm Beach PACE,962,2026-03-02 07:06:46.961 -0500
MorseLife Home Care,,,2026-03-02 07:06:46.961 -0500
MotivHealth,MotivHealth,1018,2026-03-02 07:06:46.961 -0500
MotivHealth,,,2026-03-02 07:06:46.961 -0500
Mount Sinai Medical Center Florida,Mount Sinai Eldercare,1217,2026-03-02 07:06:46.961 -0500
Mount Sinai Medical Center Florida,,,2026-03-02 07:06:46.961 -0500
Mountain Empire Older Citizens,Mountain Empire Older Citizens,769,2026-03-02 07:06:46.961 -0500
Mountain Empire Older Citizens,,,2026-03-02 07:06:46.961 -0500
MultiCare Health System,Pacific Northwest PACE,1194,2026-03-02 07:06:46.961 -0500
MultiCare Health System,,,2026-03-02 07:06:46.961 -0500
NALC Health Benefit,NALC Health Benefit,1024,2026-03-02 07:06:46.961 -0500
NALC Health Benefit,,,2026-03-02 07:06:46.961 -0500
NY Hotel Trades,NY Hotel Trades,436,2026-03-02 07:06:46.961 -0500
NY Hotel Trades,,,2026-03-02 07:06:46.961 -0500
Nascentia Health Plus,Nascentia Health Plus,1118,2026-03-02 07:06:46.961 -0500
Nascentia Health Plus,,,2026-03-02 07:06:46.961 -0500
Neighborhood Health Plan (RI),Neighborhood Health Plan (RI),421,2026-03-02 07:06:46.961 -0500
Neighborhood Health Plan (RI),,,2026-03-02 07:06:46.961 -0500
Neighborhood Healthcare,Neighborhood Healthcare PACE,1186,2026-03-02 07:06:46.961 -0500
Neighborhood Healthcare,,,2026-03-02 07:06:46.961 -0500
New York State Hamaspik,Hamaspik,1155,2026-03-02 07:06:46.961 -0500
New York State Hamaspik,,,2026-03-02 07:06:46.961 -0500
NewCourtland LIFE,NewCourtland LIFE,830,2026-03-02 07:06:46.961 -0500
NewCourtland LIFE,,,2026-03-02 07:06:46.961 -0500
North East Medical,NEMS PACE,1180,2026-03-02 07:06:46.961 -0500
North East Medical,,,2026-03-02 07:06:46.961 -0500
Northland Healthcare,Northland PACE Senior Care Services,791,2026-03-02 07:06:46.961 -0500
Northland Healthcare,,,2026-03-02 07:06:46.961 -0500
Ochsner Health,Ochsner Health,1183,2026-03-02 07:06:46.961 -0500
Ochsner Health,,,2026-03-02 07:06:46.961 -0500
On Lok,On Lok,442,2026-03-02 07:06:46.961 -0500
On Lok,,,2026-03-02 07:06:46.961 -0500
One Senior Care,Cherry Blossom PACE,1209,2026-03-02 07:06:46.961 -0500
One Senior Care,LIFE Northwestern Pennsylvania,924,2026-03-02 07:06:46.961 -0500
One Senior Care,Mountain View PACE,1247,2026-03-02 07:06:46.961 -0500
One Senior Care,,,2026-03-02 07:06:46.961 -0500
Orangeburg Senior Helping Center,Orangeburg Senior Helping Center PACE,771,2026-03-02 07:06:46.961 -0500
Orangeburg Senior Helping Center,,,2026-03-02 07:06:46.961 -0500
Oscar Insurance,Oscar Health,948,2026-03-02 07:06:46.961 -0500
Oscar Insurance,,,2026-03-02 07:06:46.961 -0500
PACE Central Michigan,PACE Central Michigan,1117,2026-03-02 07:06:46.961 -0500
PACE Central Michigan,,,2026-03-02 07:06:46.961 -0500
"PACE of the Southern Piedmont, Inc.",PACE of the Southern Piedmont,922,2026-03-02 07:06:46.961 -0500
"PACE of the Southern Piedmont, Inc.",,,2026-03-02 07:06:46.961 -0500
PACE of the Triad,PACE of the Triad,846,2026-03-02 07:06:46.961 -0500
PACE of the Triad,,,2026-03-02 07:06:46.961 -0500
PACE@Home,PACE@Home,864,2026-03-02 07:06:46.961 -0500
PACE@Home,,,2026-03-02 07:06:46.961 -0500
PHSI,Partners Health,1019,2026-03-02 07:06:46.961 -0500
PHSI,,,2026-03-02 07:06:46.961 -0500
Central California Alliance for Health,Central California Alliance for Health,130,2026-03-02 07:06:46.961 -0500
Central California Alliance for Health,,,2026-03-02 07:06:46.961 -0500
Champion Health Plans USA,Champion Health,1242,2026-03-02 07:06:46.961 -0500
Champion Health Plans USA,,,2026-03-02 07:06:46.961 -0500
Cherokee Nation Comprehensive Care,Cherokee Elder Care,786,2026-03-02 07:06:46.961 -0500
Cherokee Nation Comprehensive Care,,,2026-03-02 07:06:46.961 -0500
Children's Wisconsin,Chorus Community Health,136,2026-03-02 07:06:46.961 -0500
Children's Wisconsin,,,2026-03-02 07:06:46.961 -0500
Chinese Community Health,Chinese Community Health,138,2026-03-02 07:06:46.961 -0500
Chinese Community Health,,,2026-03-02 07:06:46.961 -0500
Cigna Group,Cigna,140,2026-03-02 07:06:46.961 -0500
Cigna Group,,,2026-03-02 07:06:46.961 -0500
City of Los Angeles,LA Care,355,2026-03-02 07:06:46.961 -0500
City of Los Angeles,,,2026-03-02 07:06:46.961 -0500
City of San Francisco,San Francisco Health,531,2026-03-02 07:06:46.961 -0500
City of San Francisco,,,2026-03-02 07:06:46.961 -0500
Clever Care Health,Clever Care Health,1158,2026-03-02 07:06:46.961 -0500
Clever Care Health,,,2026-03-02 07:06:46.961 -0500
Clover Health,Clover Health,892,2026-03-02 07:06:46.961 -0500
Clover Health,,,2026-03-02 07:06:46.961 -0500
Colorado Access,Colorado Access,144,2026-03-02 07:06:46.961 -0500
Colorado Access,,,2026-03-02 07:06:46.961 -0500
Commonwealth Care Alliance,Commonwealth Care Alliance,147,2026-03-02 07:06:46.961 -0500
Commonwealth Care Alliance,,,2026-03-02 07:06:46.961 -0500
CommuniCare Health,CommuniCare Advantage,1169,2026-03-02 07:06:46.961 -0500
CommuniCare Health,West Virginia Senior Advantage,1050,2026-03-02 07:06:46.961 -0500
CommuniCare Health,,,2026-03-02 07:06:46.961 -0500
Community Care (WI),Community Care (WI),148,2026-03-02 07:06:46.961 -0500
Community Care (WI),,,2026-03-02 07:06:46.961 -0500
Community Care of Western NY,Total Senior Care,797,2026-03-02 07:06:46.961 -0500
Community Care of Western NY,,,2026-03-02 07:06:46.961 -0500
Community Eldercare of San Diego,St. Paul's PACE,720,2026-03-02 07:06:46.961 -0500
Community Eldercare of San Diego,,,2026-03-02 07:06:46.961 -0500
Community Health Choice (TX),Community Health Choice (TX),152,2026-03-02 07:06:46.961 -0500
Community Health Choice (TX),,,2026-03-02 07:06:46.961 -0500
Community Health Group (CA),Community Health Group (CA),153,2026-03-02 07:06:46.961 -0500
Community Health Group (CA),,,2026-03-02 07:06:46.961 -0500
Community Health Options,Community Health Options,932,2026-03-02 07:06:46.961 -0500
Community Health Options,,,2026-03-02 07:06:46.961 -0500
Community Health Plan (WA),Community Health Plan (WA),157,2026-03-02 07:06:46.961 -0500
Community Health Plan (WA),,,2026-03-02 07:06:46.961 -0500
Community Hospice of Northeast Florida,PACE Partners of Northeast Florida,1145,2026-03-02 07:06:46.961 -0500
Community Hospice of Northeast Florida,,,2026-03-02 07:06:46.961 -0500
Community PACE at Home,Community PACE at Home,1066,2026-03-02 07:06:46.961 -0500
Community PACE at Home,,,2026-03-02 07:06:46.961 -0500
Compass Rose Benefits,Compass Rose Health,1025,2026-03-02 07:06:46.961 -0500
Compass Rose Benefits,,,2026-03-02 07:06:46.961 -0500
Comprehensive Senior Care,CentraCare (MI),808,2026-03-02 07:06:46.961 -0500
Comprehensive Senior Care,,,2026-03-02 07:06:46.961 -0500
Cone Health,HealthTeam Advantage,1012,2026-03-02 07:06:46.961 -0500
Cone Health,,,2026-03-02 07:06:46.961 -0500
Consolidated Association of RR Employees,Consolidated Association of RR Employees,167,2026-03-02 07:06:46.961 -0500
Consolidated Association of RR Employees,,,2026-03-02 07:06:46.961 -0500
Contra Costa Health Services,Contra Costa Health,168,2026-03-02 07:06:46.961 -0500
Contra Costa Health Services,,,2026-03-02 07:06:46.961 -0500
Cook Children's Health,Cook Children's Health,169,2026-03-02 07:06:46.961 -0500
Cook Children's Health,,,2026-03-02 07:06:46.961 -0500
Cook County Health and Hospitals,CountyCare Health,1083,2026-03-02 07:06:46.961 -0500
Cook County Health and Hospitals,,,2026-03-02 07:06:46.961 -0500
Corewell Health,Physicians Health Plan Northern Indiana (Priority Health),474,2026-03-02 07:06:46.961 -0500
Corewell Health,Priority Health,506,2026-03-02 07:06:46.961 -0500
Corewell Health,,,2026-03-02 07:06:46.961 -0500
"Counties of Fresno, Kings and Madera",CalViva Health,835,2026-03-02 07:06:46.961 -0500
"Counties of Fresno, Kings and Madera",,,2026-03-02 07:06:46.961 -0500
County of Itasca,Itasca Medical Care,345,2026-03-02 07:06:46.961 -0500
County of Itasca,,,2026-03-02 07:06:46.961 -0500
County of Orange,CalOptima,111,2026-03-02 07:06:46.961 -0500
County of Orange,,,2026-03-02 07:06:46.961 -0500
County of San Joaquin,Health Plan of San Joaquin,584,2026-03-02 07:06:46.961 -0500
County of San Joaquin,,,2026-03-02 07:06:46.961 -0500
County of San Mateo,Health Plan of San Mateo,286,2026-03-02 07:06:46.961 -0500
County of San Mateo,,,2026-03-02 07:06:46.961 -0500
County of Santa Clara,Santa Clara Family,535,2026-03-02 07:06:46.961 -0500
County of Santa Clara,,,2026-03-02 07:06:46.961 -0500
County of Ventura,Gold Coast Health,860,2026-03-02 07:06:46.961 -0500
County of Ventura,,,2026-03-02 07:06:46.961 -0500
CoxHealth,Cox HealthPlans,179,2026-03-02 07:06:46.961 -0500
CoxHealth,,,2026-03-02 07:06:46.961 -0500
CuraCor dba BlueCross BlueShield North Carolina,BlueCross BlueShield North Carolina,79,2026-03-02 07:06:46.961 -0500
CuraCor dba BlueCross BlueShield North Carolina,Experience Health,1138,2026-03-02 07:06:46.961 -0500
CuraCor dba BlueCross BlueShield North Carolina,,,2026-03-02 07:06:46.961 -0500
Curana Health,Align Senior Care,1131,2026-03-02 07:06:46.961 -0500
Curana Health,,,2026-03-02 07:06:46.961 -0500
Delaware Life,Clear Spring Healthcare,1107,2026-03-02 07:06:46.961 -0500
Delaware Life,,,2026-03-02 07:06:46.961 -0500
Denver Health and Hospital Authority,Denver Health Medical Plan,188,2026-03-02 07:06:46.961 -0500
Denver Health and Hospital Authority,,,2026-03-02 07:06:46.961 -0500
Devoted Health,Devoted Health,1094,2026-03-02 07:06:46.961 -0500
Devoted Health,,,2026-03-02 07:06:46.961 -0500
Doctors Healthcare,Doctors Healthcare,1098,2026-03-02 07:06:46.961 -0500
Doctors Healthcare,,,2026-03-02 07:06:46.961 -0500
Douglas County IPA,Douglas County IPA,196,2026-03-02 07:06:46.961 -0500
Douglas County IPA,,,2026-03-02 07:06:46.961 -0500
Driscoll Children's Health,Driscoll Children's Health,197,2026-03-02 07:06:46.961 -0500
Driscoll Children's Health,,,2026-03-02 07:06:46.961 -0500
EMI Health,EMI Health,199,2026-03-02 07:06:46.961 -0500
EMI Health,,,2026-03-02 07:06:46.961 -0500
East Boston Health,Neighborhood PACE,204,2026-03-02 07:06:46.961 -0500
East Boston Health,,,2026-03-02 07:06:46.961 -0500
El Paso Health,El Paso Health,201,2026-03-02 07:06:46.961 -0500
El Paso Health,,,2026-03-02 07:06:46.961 -0500
Element Care,Edenbridge PACE,1211,2026-03-02 07:06:46.961 -0500
Element Care,Element Care PACE,205,2026-03-02 07:06:46.961 -0500
Element Care,,,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield Colorado,32,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield Connecticut,33,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield Georgia,85,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield Indiana,34,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield Kentucky,35,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield Maine,36,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield Missouri,37,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield Nevada,38,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield New Hampshire,39,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield New York,207,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield Ohio,40,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield Virginia,41,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross BlueShield Wisconsin,31,2026-03-02 07:06:46.961 -0500
Elevance Health,Anthem BlueCross California,93,2026-03-02 07:06:46.961 -0500
Elevance Health,Freedom Health,238,2026-03-02 07:06:46.961 -0500
Elevance Health,HealthSun Health Plans,314,2026-03-02 07:06:46.961 -0500
Elevance Health,Healthy Blue Kansas,1252,2026-03-02 07:06:46.961 -0500
Elevance Health,Healthy Blue Missouri,408,2026-03-02 07:06:46.961 -0500
Elevance Health,Indiana University Health,368,2026-03-02 07:06:46.961 -0500
Elevance Health,MMM Healthcare,409,2026-03-02 07:06:46.961 -0500
Elevance Health,Optimum HealthCare,445,2026-03-02 07:06:46.961 -0500
Elevance Health,Simply Healthcare,822,2026-03-02 07:06:46.961 -0500
Elevance Health,Wellpoint,29,2026-03-02 07:06:46.961 -0500
Elevance Health,,,2026-03-02 07:06:46.961 -0500
EmblemHealth,EmblemHealth (HIP),322,2026-03-02 07:06:46.961 -0500
EmblemHealth,EmblemHealth Plan,252,2026-03-02 07:06:46.961 -0500
EmblemHealth,,,2026-03-02 07:06:46.961 -0500
Empath Health,Suncoast PACE,804,2026-03-02 07:06:46.961 -0500
Empath Health,,,2026-03-02 07:06:46.961 -0500
Esperanza Health,Panorama PACE,1255,2026-03-02 07:06:46.961 -0500
Esperanza Health,,,2026-03-02 07:06:46.961 -0500
Eternal Health,Eternal Health,1185,2026-03-02 07:06:46.961 -0500
Eternal Health,,,2026-03-02 07:06:46.961 -0500
EveryAge,Carolina SeniorCare,886,2026-03-02 07:06:46.961 -0500
EveryAge,Elderhaus PACE,787,2026-03-02 07:06:46.961 -0500
EveryAge,,,2026-03-02 07:06:46.961 -0500
Fallon Community Health,Fallon Health,215,2026-03-02 07:06:46.961 -0500
Fallon Community Health,,,2026-03-02 07:06:46.961 -0500
Family Health Centers of San Diego,Family Health Centers of San Diego,1125,2026-03-02 07:06:46.961 -0500
Family Health Centers of San Diego,,,2026-03-02 07:06:46.961 -0500
Family HealthCare Network,Family HealthCare Network PACE,1259,2026-03-02 07:06:46.961 -0500
Family HealthCare Network,,,2026-03-02 07:06:46.961 -0500
Fenyx Health,Fenyx Health,1221,2026-03-02 07:06:46.961 -0500
Fenyx Health,,,2026-03-02 07:06:46.961 -0500
First Medical Health,First Medical Health,229,2026-03-02 07:06:46.961 -0500
First Medical Health,,,2026-03-02 07:06:46.961 -0500
First Sacramento Capital Funding,ProCare Advantage,1129,2026-03-02 07:06:46.961 -0500
First Sacramento Capital Funding,,,2026-03-02 07:06:46.961 -0500
Florida Blue,Capital Health,117,2026-03-02 07:06:46.961 -0500
Florida Blue,Florida Blue,72,2026-03-02 07:06:46.961 -0500
Florida Blue,Florida Health Care Plans,234,2026-03-02 07:06:46.961 -0500
Florida Blue,Triple-S,598,2026-03-02 07:06:46.961 -0500
Florida Blue,,,2026-03-02 07:06:46.961 -0500
Franciscan PACE,Franciscan PACE,774,2026-03-02 07:06:46.961 -0500
Franciscan PACE,,,2026-03-02 07:06:46.961 -0500
Fresno Community Hospital and Medical Center,Community Care Health,1068,2026-03-02 07:06:46.961 -0500
Fresno Community Hospital and Medical Center,,,2026-03-02 07:06:46.961 -0500
